,Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,complaintfiled,complaintyears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Over18_Y,complaintresolved_N,complaintresolved_Y,Left
172,35,Male,medium,Sales,1,1,Travel_Rarely,27,40,4,0,,18,4,10,10,7,1,0,0,1
173,48,Male,medium,Research & Development,1,0,Travel_Rarely,4,40,4,0,,11,1,11,10,0,1,0,0,0
174,42,Male,medium,Research & Development,4,0,Travel_Rarely,29,40,4,0,,19,5,16,1,0,1,0,0,0
175,37,Female,high,Research & Development,2,1,Non-Travel,1,40,4,0,,18,4,15,5,0,1,0,0,0
176,40,Male,high,Human Resources,1,1,Travel_Rarely,6,40,4,0,,21,5,21,21,7,1,0,0,0
177,39,Female,medium,Sales,4,1,Travel_Rarely,3,40,3,0,,18,4,12,1,0,1,0,0,1
178,59,Female,high,Human Resources,9,0,Non-Travel,2,40,4,0,,21,5,30,3,2,1,0,0,0
179,34,Male,low,Research & Development,3,0,Non-Travel,3,40,4,0,,17,4,6,0,0,1,0,0,0
180,40,Male,low,Research & Development,1,0,Travel_Rarely,24,40,4,0,,17,4,9,9,4,1,0,0,0
181,18,Female,low,Research & Development,1,0,Non-Travel,14,40,3,0,,16,3,0,0,0,1,0,0,0
182,47,Female,high,Human Resources,3,0,Travel_Rarely,26,40,3,0,,11,1,27,5,1,1,0,0,0
183,44,Female,low,Human Resources,4,0,Travel_Rarely,1,40,4,0,,18,4,8,2,2,1,0,0,0
184,59,Male,low,Research & Development,3,0,Travel_Rarely,3,40,4,0,,17,4,7,1,0,1,0,0,0
185,27,Male,medium,Sales,1,0,Travel_Rarely,9,40,4,1,2.0,14,2,7,7,0,1,0,1,0
186,30,Female,medium,Research & Development,0,1,Travel_Rarely,6,40,4,0,,12,2,10,9,6,1,0,0,0
187,46,Male,high,Research & Development,5,1,Travel_Rarely,15,40,2,0,,11,1,25,4,0,1,0,0,0
188,32,Female,medium,Research & Development,5,0,Travel_Rarely,8,40,3,0,,12,2,9,5,1,1,0,0,0
189,27,Female,medium,Research & Development,8,1,Travel_Rarely,7,40,1,1,2.0,19,5,9,7,0,1,0,1,0
190,25,Male,medium,Research & Development,5,1,Travel_Rarely,3,40,1,0,,13,2,6,2,0,1,0,0,1
191,32,Male,medium,Sales,1,0,Travel_Rarely,8,40,4,0,,15,3,10,10,0,1,0,0,0
192,42,Male,medium,Sales,7,0,Travel_Rarely,4,40,1,0,,13,2,9,6,1,1,0,0,0
193,37,Female,low,Sales,5,0,Travel_Frequently,21,40,4,0,,15,3,10,5,0,1,0,0,0
194,22,Female,low,Research & Development,1,1,Travel_Rarely,11,40,2,0,,13,2,2,2,1,1,0,0,0
195,37,Male,low,Sales,4,1,Travel_Frequently,4,40,4,0,,17,4,13,9,5,1,0,0,0
196,24,Male,medium,Research & Development,1,0,Travel_Rarely,1,40,3,0,,12,2,4,4,1,1,0,0,0
197,52,Female,high,Sales,1,0,Travel_Rarely,2,40,4,0,,15,3,33,32,6,1,0,0,1
198,33,Male,low,Research & Development,3,1,Travel_Rarely,1,40,1,0,,11,1,6,3,0,1,0,0,0
199,38,Male,low,Research & Development,3,1,Travel_Frequently,3,40,3,0,,16,3,8,2,2,1,0,0,0
200,54,Female,low,Research & Development,3,0,Travel_Rarely,9,40,3,0,,11,1,9,4,2,1,0,0,0
201,39,Male,medium,Research & Development,2,1,Travel_Rarely,10,40,1,0,,13,2,10,7,7,1,0,0,0
202,29,Male,medium,Research & Development,8,0,Travel_Rarely,29,40,3,1,2.0,17,4,11,7,1,1,1,0,0
203,42,Female,medium,Research & Development,0,0,Travel_Frequently,28,40,4,1,0.0,11,1,7,6,0,1,0,1,0
204,43,Male,high,Sales,1,0,Travel_Frequently,26,40,4,0,,12,2,25,25,4,1,0,0,0
205,30,Male,high,Research & Development,1,0,Non-Travel,1,40,3,1,2.0,22,5,12,11,5,1,0,1,0
206,41,Male,low,Research & Development,2,1,Travel_Rarely,5,40,3,0,,12,2,7,4,0,1,0,0,0
207,29,Male,low,Research & Development,1,0,Travel_Rarely,15,40,4,0,,19,4,6,6,1,1,0,0,0
208,42,Male,medium,Sales,1,1,Travel_Rarely,1,40,3,0,,25,5,20,20,11,1,0,0,0
209,36,Male,medium,Sales,1,1,Non-Travel,15,40,4,1,1.0,24,5,15,15,11,1,0,1,0
210,48,Male,high,Research & Development,2,0,Non-Travel,1,40,4,0,,22,5,27,5,2,1,0,0,0
211,26,Male,low,Research & Development,0,0,Travel_Rarely,1,40,1,0,,13,2,8,7,7,1,0,0,0
212,54,Female,medium,Research & Development,9,0,Travel_Rarely,19,40,1,0,,11,1,9,5,1,1,0,0,0
213,38,Male,low,Sales,4,0,Travel_Rarely,1,40,1,0,,14,3,20,1,0,1,0,0,0
214,21,Female,low,Sales,1,1,Travel_Frequently,1,40,2,0,,11,1,3,3,1,1,0,0,1
215,52,Male,medium,Research & Development,2,0,Travel_Rarely,3,40,3,0,,14,3,28,5,0,1,0,0,0
216,24,Male,low,Research & Development,2,1,Travel_Rarely,1,40,4,0,,16,4,6,2,2,1,0,0,1
217,33,Female,medium,Sales,0,0,Travel_Rarely,9,40,1,0,,17,4,6,5,0,1,0,0,1
218,37,Male,medium,Sales,1,0,Travel_Rarely,9,40,2,0,,14,3,5,5,0,1,0,0,0
219,41,Female,medium,Sales,5,1,Travel_Rarely,8,40,2,1,0.0,21,5,14,5,1,1,0,1,0
220,37,Female,low,Research & Development,6,1,Travel_Rarely,10,40,1,0,,20,5,17,5,0,1,0,0,0
221,34,Female,medium,Sales,5,1,Travel_Rarely,8,40,1,0,,17,4,6,3,1,1,0,0,0
222,33,Female,medium,Sales,1,1,Travel_Frequently,25,40,3,0,,12,2,10,10,0,1,0,0,0
223,29,Female,medium,Research & Development,1,0,Travel_Rarely,1,40,4,1,1.0,15,3,3,3,1,1,0,1,0
224,32,Male,low,Research & Development,1,0,Travel_Rarely,25,40,4,0,,24,5,1,1,0,1,0,0,1
225,39,Male,medium,Sales,0,0,Travel_Rarely,2,40,3,0,,18,4,9,8,0,1,0,0,0
226,38,Male,medium,Research & Development,9,1,Travel_Rarely,23,40,4,1,,14,2,10,2,1,1,1,0,0
227,43,Female,high,Research & Development,8,1,Travel_Rarely,7,40,1,0,,16,4,10,1,0,1,0,0,0
228,49,Male,high,Research & Development,1,0,Travel_Rarely,18,40,3,1,1.0,17,4,31,31,0,1,0,1,0
229,40,Male,high,Sales,5,0,Travel_Frequently,5,40,1,0,,21,5,20,18,1,1,0,0,0
230,29,Female,low,Research & Development,3,0,Travel_Rarely,7,40,3,1,4.0,13,2,10,7,7,1,1,0,1
231,51,Female,medium,Research & Development,3,0,Travel_Frequently,1,40,1,0,,20,5,23,13,12,1,0,0,0
232,44,Male,low,Research & Development,2,1,Non-Travel,17,40,3,1,,13,2,6,0,0,1,1,0,0
233,25,Male,low,Sales,1,0,Travel_Rarely,19,40,2,0,,18,4,1,1,0,1,0,0,1
234,36,Male,low,Sales,7,1,Travel_Rarely,9,40,1,0,,23,5,10,5,0,1,0,0,1
235,33,Male,medium,Sales,0,0,Travel_Frequently,7,40,1,0,,14,3,5,4,0,1,0,0,0
236,25,Male,medium,Sales,1,1,Travel_Rarely,3,40,1,0,,18,4,5,5,0,1,0,0,0
237,34,Female,medium,Sales,1,1,Travel_Rarely,9,40,3,0,,20,5,6,6,1,1,0,0,0
238,34,Female,medium,Research & Development,3,1,Travel_Rarely,8,40,3,0,,11,1,10,5,4,1,0,0,0
239,28,Male,low,Research & Development,7,0,Travel_Frequently,2,40,1,0,,11,1,8,0,0,1,0,0,1
240,27,Male,low,Research & Development,0,1,Travel_Rarely,11,40,1,0,,14,3,6,5,1,1,0,0,0
241,49,Male,high,Research & Development,3,0,Travel_Frequently,2,40,4,1,0.0,15,3,28,5,4,1,1,0,0
242,26,Female,low,Human Resources,0,1,Travel_Rarely,20,40,2,1,3.0,11,1,6,5,1,1,1,0,1
243,30,Female,high,Sales,2,0,Travel_Rarely,5,40,4,0,,12,2,12,10,7,1,0,0,0
244,41,Female,medium,Sales,0,1,Travel_Frequently,1,40,1,0,,17,4,10,9,1,1,0,0,0
245,32,Female,medium,Research & Development,1,0,Travel_Rarely,3,40,1,1,1.0,12,1,8,8,6,1,0,1,0
246,34,Male,medium,Research & Development,1,1,Travel_Frequently,10,40,3,0,,14,3,8,8,7,1,0,0,0
247,34,Male,medium,Research & Development,4,0,Travel_Frequently,9,40,1,0,,17,4,11,7,0,1,0,0,1
